,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
242,0.09321896235148112,0.0029116478907825817,0.02788567543029785,0.0007703786745531364,0,65,12,4,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 12, 'tree__max_depth': 65, 'tree__ccp_alpha': 0}",0.898961937716263,0.8985467128027682,0.8955017301038062,0.8976701268742792,0.0015426300804891196,220,True
87,0.09562253952026367,0.0012170168013957371,0.028386751810709637,0.0004507994692642108,0,90,12,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 12, 'tree__max_depth': 90, 'tree__ccp_alpha': 0}",0.898961937716263,0.8985467128027682,0.8955017301038062,0.8976701268742792,0.0015426300804891196,220,True
121,0.09624099731445312,0.001564869965465367,0.02905591328938802,0.0008893164771759035,0,35,12,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 12, 'tree__max_depth': 35, 'tree__ccp_alpha': 0}",0.898961937716263,0.8985467128027682,0.8955017301038062,0.8976701268742792,0.0015426300804891196,220,True
100,0.09314966201782227,0.0016886132157607526,0.028506994247436523,0.00029630144573336163,0,99,12,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 12, 'tree__max_depth': 99, 'tree__ccp_alpha': 0}",0.898961937716263,0.8985467128027682,0.8955017301038062,0.8976701268742792,0.0015426300804891196,220,True
0,0.11903683344523112,0.020206615858238765,0.033124446868896484,0.007213186485523303,0,10,49,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 49, 'tree__max_depth': 10, 'tree__ccp_alpha': 0}",0.8858131487889274,0.8865051903114187,0.8834602076124567,0.8852595155709343,0.001303293830848994,224,True
213,0.08895579973856609,0.000722086301007249,0.02735288937886556,0.00017950215177566412,0,10,14,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 14, 'tree__max_depth': 10, 'tree__ccp_alpha': 0}",0.8838754325259516,0.8840138408304499,0.8805536332179931,0.8828143021914648,0.0015995327172650454,225,True
214,0.09541432062784831,0.0029565808938111404,0.028310855229695637,0.000946591647194647,0,45,11,3,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 11, 'tree__max_depth': 45, 'tree__ccp_alpha': 0}",0.8831833910034602,0.8833217993079585,0.8791695501730104,0.8818915801614763,0.0019255950869397436,226,True
212,0.09089104334513347,0.0008021893537543184,0.028056939442952473,0.0013991413653774846,0,21,11,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 11, 'tree__max_depth': 21, 'tree__ccp_alpha': 0}",0.8831833910034602,0.8833217993079585,0.8791695501730104,0.8818915801614763,0.0019255950869397436,226,True
170,0.09270278612772624,0.0028454384288524284,0.028055111567179363,0.001119678332934916,0,35,11,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 11, 'tree__max_depth': 35, 'tree__ccp_alpha': 0}",0.8831833910034602,0.8833217993079585,0.8791695501730104,0.8818915801614763,0.0019255950869397436,226,True
75,0.09281214078267415,0.001114486066174214,0.029215097427368164,0.0008698105791650413,0,9,66,7,"{'tree__min_samples_split': 7, 'tree__max_leaf_nodes': 66, 'tree__max_depth': 9, 'tree__ccp_alpha': 0}",0.8740484429065744,0.8751557093425606,0.8711418685121107,0.8734486735870819,0.0016926354166407593,229,True
