,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lr__regularization
0,5.912554581960042,0.43682213071577564,0.034279425938924156,0.0024073433953013066,inf,,sag,"{'lr__C': inf, 'lr__penalty': None, 'lr__solver': 'sag'}",0.9638754325259515,0.9590311418685121,0.965121107266436,0.9626758938869666,0.002626923339420837,1,False
0,5.419968366622925,0.042760601290789145,0.02982044219970703,0.0006946784536963873,inf,,sag,"{'lr__C': inf, 'lr__penalty': None, 'lr__solver': 'sag'}",0.9640138408304498,0.9619377162629758,0.9586159169550174,0.961522491349481,0.002223166561136171,1,False
0,5.368697643280029,0.12859929899354597,0.02840741475423177,0.0011734969460174707,161.46861296834217,l2,sag,"{'lr__C': 161.46861296834217, 'lr__penalty': 'l2', 'lr__solver': 'sag'}",0.9580622837370242,0.9637370242214532,0.9608304498269896,0.960876585928489,0.002316932785142277,1,True
1,5.361488103866577,0.03729165817196676,0.038274129231770836,0.009018680861377328,158.5998561536106,l2,sag,"{'lr__C': 158.5998561536106, 'lr__penalty': 'l2', 'lr__solver': 'sag'}",0.9577854671280277,0.9633217993079585,0.9593079584775086,0.9601384083044984,0.0023352342763264112,2,True
