,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__min_samples_split,param_tree__max_leaf_nodes,param_tree__max_depth,param_tree__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
229,0.1741358439127604,0.0011512939388769261,0.02621308962504069,0.0027216228029365254,4,55,76,0.0005554044828233608,"{'tree__ccp_alpha': 0.0005554044828233608, 'tree__max_depth': 76, 'tree__max_leaf_nodes': 55, 'tree__min_samples_split': 4}",0.9645674740484429,0.9624913494809688,0.9676124567474048,0.9648904267589389,0.0021031181213456056,61,True
139,0.20972220102945963,0.005021246314808566,0.02662960688273112,0.004430246355173822,4,79,99,0,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 79, 'tree__max_depth': 99, 'tree__ccp_alpha': 0}",0.9703806228373703,0.9691349480968858,0.9713494809688581,0.9702883506343714,0.0009064305745969105,61,False
203,0.20441611607869467,0.004162131865907217,0.029197295506795246,0.00013395734571693398,8,77,63,0,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 77, 'tree__max_depth': 63, 'tree__ccp_alpha': 0}",0.9703806228373703,0.9691349480968858,0.9712110726643599,0.9702422145328718,0.0008532060903763409,63,False
416,0.20880770683288574,0.005091811728552649,0.028082529703776043,0.004459348918817506,5,79,90,0,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 79, 'tree__max_depth': 90, 'tree__ccp_alpha': 0}",0.9703806228373703,0.9689965397923875,0.9713494809688581,0.9702422145328718,0.000965557072039498,63,False
243,0.2024242083231608,0.0035601535843824525,0.028417110443115234,0.00909942831317786,2,78,96,0.000805370251767855,"{'tree__ccp_alpha': 0.000805370251767855, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 78, 'tree__min_samples_split': 2}",0.9637370242214532,0.9630449826989619,0.9670588235294117,0.9646136101499424,0.001751957328355036,63,True
187,0.20944547653198242,0.0015618405082078847,0.023857275644938152,0.001615240732589033,10,77,64,0,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 77, 'tree__max_depth': 64, 'tree__ccp_alpha': 0}",0.9703806228373703,0.9691349480968858,0.9712110726643599,0.9702422145328718,0.0008532060903763409,63,False
367,0.16337458292643228,0.001788342404315149,0.027492364247639973,0.00025500323128833756,6,93,34,2.5209334396348712e-06,"{'tree__ccp_alpha': 2.5209334396348712e-06, 'tree__max_depth': 34, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 6}",0.9626297577854671,0.961522491349481,0.9696885813148789,0.9646136101499424,0.0036169055820105453,63,True
304,0.17076452573140463,0.0029381330701887722,0.029653310775756836,0.0018681165812224154,2,54,98,0.0002440982582839749,"{'tree__ccp_alpha': 0.0002440982582839749, 'tree__max_depth': 98, 'tree__max_leaf_nodes': 54, 'tree__min_samples_split': 2}",0.9642906574394464,0.9619377162629758,0.9670588235294117,0.9644290657439446,0.0020929727745723223,65,True
444,0.1594552993774414,0.002608367387566355,0.025073528289794922,0.007672979480435066,9,73,35,6.911432699469409e-06,"{'tree__ccp_alpha': 6.911432699469409e-06, 'tree__max_depth': 35, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 9}",0.9629065743944637,0.961522491349481,0.9685813148788928,0.9643367935409458,0.0030540565930215263,66,True
251,0.2069089412689209,0.0041906328988236385,0.027636369069417317,0.003877273360705141,3,76,96,0,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 76, 'tree__max_depth': 96, 'tree__ccp_alpha': 0}",0.9703806228373703,0.9689965397923875,0.9712110726643599,0.9701960784313726,0.0009134482063771079,66,False
311,0.19853480656941733,0.0066275504684555255,0.03123919169108073,0.001962823002469683,8,76,87,0,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 76, 'tree__max_depth': 87, 'tree__ccp_alpha': 0}",0.9703806228373703,0.9689965397923875,0.9712110726643599,0.9701960784313726,0.0009134482063771079,66,False
258,0.15224321683247885,0.0072381870267755905,0.031215985616048176,0.0016628281139292316,8,60,36,1.0046382097670937e-06,"{'tree__ccp_alpha': 1.0046382097670937e-06, 'tree__max_depth': 36, 'tree__max_leaf_nodes': 60, 'tree__min_samples_split': 8}",0.9627681660899654,0.9608304498269896,0.9678892733564014,0.9638292964244521,0.002977834290769083,67,True
327,0.18775153160095215,0.0021064818427051764,0.028626283009847004,0.0016617589259618904,10,72,51,0.0008968286723538268,"{'tree__ccp_alpha': 0.0008968286723538268, 'tree__max_depth': 51, 'tree__max_leaf_nodes': 72, 'tree__min_samples_split': 10}",0.9637370242214532,0.9619377162629758,0.9658131487889273,0.9638292964244521,0.0015834834880489581,67,True
342,0.20706915855407715,0.004948368126490914,0.026380459467569988,0.0015474593258019518,10,77,75,0,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 77, 'tree__max_depth': 75, 'tree__ccp_alpha': 0}",0.9703806228373703,0.9688581314878892,0.9712110726643599,0.9701499423298733,0.0009743350441496465,68,False
