,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__penalty,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lr__regularization,param_lr__C
85,1.0760085582733154,0.4354095881502903,0.03321758906046549,0.0023683224026335935,l2,"{'lr__C': 168.53933657206906, 'lr__penalty': 'l2'}",0.9454671280276816,0.9469896193771626,0.9439446366782007,0.9454671280276816,0.0012431089813432425,10,True,168.53933657206906
7,0.7912240823109945,0.017068200306793874,0.030851999918619793,0.001652652519596245,l2,"{'lr__C': 187.91853629070144, 'lr__penalty': 'l2'}",0.9443598615916955,0.9464359861591696,0.9456055363321799,0.9454671280276816,0.0008532060903763409,10,True,187.91853629070144
86,0.7623850504557291,0.013868371982108071,0.03306102752685547,0.0025152396466202624,l2,"{'lr__C': 186.70210659806608, 'lr__penalty': 'l2'}",0.9464359861591696,0.9471280276816609,0.9426989619377163,0.9454209919261823,0.001945390416821961,12,True,186.70210659806608
63,0.7967729568481445,0.0082406937738001,0.03471223513285319,0.001289043370641329,l2,"{'lr__C': 68.41795038619414, 'lr__penalty': 'l2'}",0.9438062283737024,0.9464359861591696,0.9458823529411765,0.9453748558246828,0.0011319810054334866,13,True,68.41795038619414
93,0.9753599166870117,0.1488363329784971,0.040363709131876625,0.0014028008694641533,l2,"{'lr__C': 91.09652557109544, 'lr__penalty': 'l2'}",0.9438062283737024,0.9469896193771626,0.9453287197231834,0.9453748558246828,0.0013000233267455948,13,True,91.09652557109544
97,1.1242291927337646,0.43371600924464193,0.0322112242380778,0.0014612266364664147,l2,"{'lr__C': 168.34056489952437, 'lr__penalty': 'l2'}",0.9486505190311418,0.9439446366782007,0.9433910034602077,0.9453287197231833,0.002359716143491441,15,True,168.34056489952437
51,0.753664493560791,0.010386272004758952,0.03450361887613932,0.0012151948437447513,l2,"{'lr__C': 174.23572146108367, 'lr__penalty': 'l2'}",0.9474048442906574,0.9439446366782007,0.9446366782006921,0.9453287197231833,0.001494980553265914,15,True,174.23572146108367
32,0.8094011147816976,0.010093442226030685,0.03272851308186849,0.002361298155750306,l2,"{'lr__C': 141.88766410016018, 'lr__penalty': 'l2'}",0.9454671280276816,0.9444982698961938,0.9458823529411765,0.9452825836216839,0.0005799218034591268,17,True,141.88766410016018
101,0.896298885345459,0.09057831378867356,0.034765402475992836,0.00699482752515256,l2,"{'lr__C': 152.70126950560262, 'lr__penalty': 'l2'}",0.9449134948096886,0.9474048442906574,0.9435294117647058,0.9452825836216839,0.0016035199259038359,17,True,152.70126950560262
211,0.7755366166432699,0.02319986510063041,0.032567898432413735,0.003087331775486537,l2,"{'lr__C': 160.04969590154803, 'lr__penalty': 'l2'}",0.9447750865051903,0.9464359861591696,0.9444982698961938,0.9452364475201845,0.0008556972083502526,19,True,160.04969590154803
6,1.2047229607899983,0.3743709974324288,0.03493197758992513,0.003845134553707572,l2,"{'lr__C': 175.6779523987345, 'lr__penalty': 'l2'}",0.9438062283737024,0.9480968858131488,0.9438062283737024,0.9452364475201845,0.0020226353141206787,19,True,175.6779523987345
198,1.2307852904001872,0.6144906209168709,0.03580514589945475,0.005710073072418412,l2,"{'lr__C': 159.48889955549228, 'lr__penalty': 'l2'}",0.944083044982699,0.9465743944636679,0.9444982698961938,0.9450519031141869,0.001089828079448005,21,True,159.48889955549228
218,1.1385548909505208,0.43698836360744636,0.035975376764933266,0.0040448784349421405,l2,"{'lr__C': 144.8671065320835, 'lr__penalty': 'l2'}",0.946712802768166,0.9451903114186851,0.9431141868512111,0.9450057670126873,0.0014749127901403142,22,True,144.8671065320835
5,0.8065656026204427,0.012029669283562349,0.031864563624064125,0.001480105436507674,l2,"{'lr__C': 152.8385450293374, 'lr__penalty': 'l2'}",0.9432525951557094,0.9444982698961938,0.9472664359861591,0.9450057670126873,0.0016774771822558245,22,True,152.8385450293374
125,1.0497726599375408,0.42309439096188783,0.029846668243408203,0.0009659925475461169,l2,"{'lr__C': 151.3197543884242, 'lr__penalty': 'l2'}",0.9442214532871972,0.9442214532871972,0.9464359861591696,0.9449596309111881,0.0010439408072881243,24,True,151.3197543884242
165,1.436570405960083,0.560949302952924,0.03437582651774088,0.0044741624935846856,l2,"{'lr__C': 187.83955988160508, 'lr__penalty': 'l2'}",0.9439446366782007,0.9468512110726643,0.9439446366782007,0.9449134948096886,0.0013701723095656075,25,True,187.83955988160508
229,1.2056297461191814,0.5474237219634759,0.035187721252441406,0.0009882459786214406,l2,"{'lr__C': 146.2242283126681, 'lr__penalty': 'l2'}",0.9479584775086505,0.9439446366782007,0.9428373702422145,0.9449134948096886,0.0022000681001275806,25,True,146.2242283126681
173,0.7592658201853434,0.006226044156706467,0.03320646286010742,0.0005800916910525184,l2,"{'lr__C': 167.77558558410664, 'lr__penalty': 'l2'}",0.9439446366782007,0.9479584775086505,0.9426989619377163,0.9448673587081892,0.00224413130463947,27,True,167.77558558410664
47,1.1291580994923909,0.45346007873433475,0.03397281964619955,0.0036965494238044216,l2,"{'lr__C': 92.72893775695256, 'lr__penalty': 'l2'}",0.9446366782006921,0.9435294117647058,0.9464359861591696,0.9448673587081892,0.0011977628591231767,27,True,92.72893775695256
37,0.7512203057607015,0.009070228788732173,0.0333714485168457,0.0021361752361724324,l2,"{'lr__C': 160.9363606660819, 'lr__penalty': 'l2'}",0.9475432525951557,0.9449134948096886,0.9421453287197232,0.9448673587081892,0.0022039346551319164,27,True,160.9363606660819
82,1.0881454149882,0.41736476758614766,0.03291726112365723,0.0016533279351283086,l2,"{'lr__C': 143.126962826137, 'lr__penalty': 'l2'}",0.9431141868512111,0.9444982698961938,0.9468512110726643,0.9448212226066897,0.0015426300804890821,30,True,143.126962826137
188,1.126175880432129,0.5187289696748072,0.03465843200683594,0.0008240872112279489,l2,"{'lr__C': 133.04754638247059, 'lr__penalty': 'l2'}",0.9439446366782007,0.946712802768166,0.9436678200692041,0.9447750865051904,0.0013748248605076016,31,True,133.04754638247059
11,0.7771044572194418,0.018137391230089613,0.03157639503479004,0.0014165762349796994,l2,"{'lr__C': 179.61830056862226, 'lr__penalty': 'l2'}",0.9438062283737024,0.944083044982699,0.9464359861591696,0.9447750865051904,0.0011798580717457356,31,True,179.61830056862226
