,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__min_samples_split,param_tree__max_leaf_nodes,param_tree__max_depth,param_tree__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
126,0.0692298412322998,0.0007039185972974223,0.009425719579060873,0.00034844543404190313,10,98,81,0,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 98, 'tree__max_depth': 81, 'tree__ccp_alpha': 0}",0.8768115942028986,0.8735177865612648,0.8761528326745718,0.8754940711462451,0.0014230875490575214,1,False
172,0.06690128644307454,0.0004490337117020244,0.010847250620524088,0.0003795561045805027,10,99,57,7.593870978561234e-06,"{'tree__ccp_alpha': 7.593870978561234e-06, 'tree__max_depth': 57, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 10}",0.8715415019762845,0.8656126482213439,0.8702239789196311,0.8691260430390866,0.002541905336581068,1,True
45,0.0690908432006836,0.004489306803617238,0.00784770647684733,0.00301182064932515,5,93,87,0.000131986190823364,"{'tree__ccp_alpha': 0.000131986190823364, 'tree__max_depth': 87, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 5}",0.8715415019762845,0.8675889328063241,0.8682476943346509,0.8691260430390866,0.0017290311537136005,1,True
335,0.07754333813985188,0.0023604418218374688,0.007928053538004557,0.005205720091156863,3,98,56,0,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 98, 'tree__max_depth': 56, 'tree__ccp_alpha': 0}",0.8748353096179183,0.8715415019762845,0.8754940711462451,0.8739569609134827,0.0017290311537136523,2,False
408,0.06788174311319987,0.008231664618933966,0.007758299509684245,0.003384846720392638,8,100,64,0.0002859273251585963,"{'tree__ccp_alpha': 0.0002859273251585963, 'tree__max_depth': 64, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 8}",0.8715415019762845,0.8649538866930171,0.8702239789196311,0.8689064558629775,0.0028461750981150086,3,True
252,0.06945506731669109,0.0046469695729393695,0.0076986948649088545,0.0025114047142329285,10,100,47,4.138423410856941e-06,"{'tree__ccp_alpha': 4.138423410856941e-06, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 10}",0.8708827404479579,0.8636363636363636,0.8722002635046113,0.8689064558629775,0.0037651357486785807,3,True
368,0.0716558297475179,0.0018390872176417604,0.00955812136332194,0.0005847678361710607,8,99,87,0,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 99, 'tree__max_depth': 87, 'tree__ccp_alpha': 0}",0.8741765480895916,0.8708827404479579,0.8768115942028986,0.8739569609134826,0.0024254196348676314,3,False
474,0.07623847325642903,0.003374007354399863,0.004842122395833333,0.0037471422486681887,2,100,64,0,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 64, 'tree__ccp_alpha': 0}",0.8741765480895916,0.8715415019762845,0.8754940711462451,0.8737373737373737,0.0016432399590575397,4,False
349,0.06990782419840495,0.0013252786378338177,0.008597532908121744,0.0005280686936030778,4,90,87,0,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 90, 'tree__max_depth': 87, 'tree__ccp_alpha': 0}",0.8748353096179183,0.8689064558629777,0.8774703557312253,0.8737373737373737,0.003581358460759784,4,False
424,0.06780711809794109,0.00043819325631282315,0.006379048029581706,0.004154221857793286,7,95,99,0,"{'tree__min_samples_split': 7, 'tree__max_leaf_nodes': 95, 'tree__max_depth': 99, 'tree__ccp_alpha': 0}",0.8741765480895916,0.8702239789196311,0.8768115942028986,0.8737373737373737,0.002707252526556422,4,False
96,0.06984305381774902,0.0021270759182788063,0.008862972259521484,0.00024209431544679243,10,99,79,0,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 99, 'tree__max_depth': 79, 'tree__ccp_alpha': 0}",0.8741765480895916,0.8728590250329381,0.8741765480895916,0.8737373737373737,0.0006210863251528534,4,False
102,0.0727244218190511,0.0028280508657095326,0.008891979853312174,0.00047090344547514776,5,97,72,0,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 97, 'tree__max_depth': 72, 'tree__ccp_alpha': 0}",0.8741765480895916,0.8702239789196311,0.8768115942028986,0.8737373737373737,0.002707252526556422,4,False
440,0.0677650769551595,0.0007981439872648926,0.010078907012939453,0.0014665874803118,2,95,65,0.00017682473526068373,"{'tree__ccp_alpha': 0.00017682473526068373, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 2}",0.8728590250329381,0.8649538866930171,0.8682476943346509,0.8686868686868686,0.00324216580154447,5,True
356,0.06646132469177246,0.0012497607338888069,0.006989876429239909,0.003907434745605183,8,93,100,9.461670289947597e-06,"{'tree__ccp_alpha': 9.461670289947597e-06, 'tree__max_depth': 100, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 8}",0.8715415019762845,0.8656126482213439,0.8689064558629777,0.8686868686868686,0.0024254196348676344,5,True
