,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__penalty,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lr__regularization,param_lr__C
0,1.0809338887532551,0.07536991601141269,0.027952273686726887,0.008678511132655735,,{'lr__penalty': None},0.9584775086505191,0.9638754325259515,0.9638754325259515,0.9620761245674739,0.002544605717764715,1,False,
0,1.5973486105600994,0.47695769573141034,0.17852489153544107,0.1752954837437458,,{'lr__penalty': None},0.9606920415224913,0.9598615916955018,0.9616608996539793,0.9607381776239908,0.0007352884636913084,1,False,
0,1.0903748671213787,0.026609074015533633,0.03838030497233073,0.003491657569139376,,{'lr__penalty': None},0.9623529411764706,0.9638754325259515,0.9591695501730104,0.9617993079584775,0.001960648614613661,1,False,
0,1.0919634501139324,0.023684963543908557,0.03322752316792806,0.003180846842861731,,{'lr__penalty': None},0.9622145328719723,0.9611072664359862,0.9598615916955018,0.9610611303344868,0.0009611380233448394,1,False,
0,1.0590317249298096,0.020962753495151115,0.032364288965861,0.008159822617149539,,{'lr__penalty': None},0.961522491349481,0.9637370242214532,0.9608304498269896,0.9620299884659747,0.0012396797086545945,1,False,
0,1.200198491414388,0.0799670363769212,0.031072298685709637,0.0009084772887625942,,{'lr__penalty': None},0.9594463667820069,0.9616608996539793,0.9619377162629758,0.9610149942329874,0.0011149292709199236,1,False,
0,1.0498770078023274,0.014364184012577462,0.04072324434916178,0.0016818856300733415,,{'lr__penalty': None},0.9629065743944637,0.96,0.9617993079584775,0.9615686274509804,0.0011977628591231767,1,False,
0,1.0465586980183919,0.013010932786563472,0.04068319002787272,0.015060333727082311,,{'lr__penalty': None},0.9627681660899654,0.9613840830449827,0.9622145328719723,0.9621222606689734,0.0005688040602508959,1,False,
0,1.0750186443328857,0.005299727995539623,0.0357059637705485,0.003932419839563779,,{'lr__penalty': None},0.9631833910034602,0.9634602076124568,0.9570934256055363,0.9612456747404844,0.002938257592265859,1,False,
0,1.0436697006225586,0.005845464720678421,0.028916597366333008,0.004605269727418285,,{'lr__penalty': None},0.9624913494809688,0.9613840830449827,0.9598615916955018,0.9612456747404844,0.0010780458081243371,1,False,
0,1.173012097676595,0.01784167453599336,0.03189245859781901,0.0029120131518287572,,{'lr__penalty': None},0.9565397923875433,0.9635986159169551,0.9609688581314879,0.9603690888119955,0.0029127924553937045,1,False,
0,1.032145897547404,0.019059717070375497,0.02942029635111491,0.0014306187766062698,,{'lr__penalty': None},0.9587543252595155,0.9617993079584775,0.9622145328719723,0.9609227220299884,0.0015426300804890988,1,False,
0,1.0230050086975098,0.011504665734166676,0.04149897893269857,0.003030176122248398,,{'lr__penalty': None},0.960553633217993,0.9622145328719723,0.9593079584775086,0.9606920415224914,0.0011906332549540253,1,False,
0,1.0278794765472412,0.002396080481921724,0.030005137125651043,0.0024642739296746774,,{'lr__penalty': None},0.9649826989619377,0.9662283737024221,0.956401384083045,0.9625374855824682,0.004368579677514466,1,False,
0,1.2152044773101807,0.07897159889614457,0.03397067387898763,0.0007191538639362357,,{'lr__penalty': None},0.9619377162629758,0.9627681660899654,0.960553633217993,0.9617531718569782,0.0009134482063771079,1,False,
0,1.1346861521402996,0.04693698477365627,0.03046139081319173,0.00028234708416264583,,{'lr__penalty': None},0.9627681660899654,0.96,0.9640138408304498,0.9622606689734717,0.0016774771822558742,1,False,
0,1.4549918174743652,0.4614784088705299,0.03150113423665365,0.00041986327861696633,,{'lr__penalty': None},0.9601384083044983,0.9590311418685121,0.961522491349481,0.9602306805074972,0.0010191797939734478,1,False,
0,1.1929293473561604,0.07445865631938368,0.03348700205485026,0.002577309135980797,,{'lr__penalty': None},0.9608304498269896,0.9622145328719723,0.9598615916955018,0.9609688581314879,0.000965557072039498,1,False,
0,1.4129053751627605,0.4419551928875759,0.04151169459025065,0.0033484014843260506,,{'lr__penalty': None},0.9588927335640138,0.9624913494809688,0.9629065743944637,0.9614302191464822,0.0018022629743598296,1,False,
0,1.1253658930460613,0.03284386369013698,0.03206769625345866,0.0029494941514029704,,{'lr__penalty': None},0.9613840830449827,0.9591695501730104,0.9611072664359862,0.9605536332179931,0.0009851975319059892,1,False,
0,1.2255136966705322,0.13424584527341404,0.12422537803649902,0.12917919018250945,,{'lr__penalty': None},0.9582006920415225,0.9623529411764706,0.9601384083044983,0.9602306805074972,0.0016964038118431853,1,False,
0,1.80051056543986,0.5092542441845253,0.04265022277832031,0.006595872741042701,,{'lr__penalty': None},0.9568166089965398,0.9622145328719723,0.9631833910034602,0.9607381776239907,0.002801035153247633,1,False,
0,1.0416492621103923,0.014967001394826596,0.03164068857828776,0.0043335765554840455,,{'lr__penalty': None},0.9611072664359862,0.960553633217993,0.9626297577854671,0.9614302191464822,0.000877799196790796,1,False,
0,1.1581703821818035,0.01667001686048851,0.03859686851501465,0.01106911617811315,,{'lr__penalty': None},0.962076124567474,0.9630449826989619,0.9604152249134948,0.961845444059977,0.001085914860063614,1,False,
0,1.4671808083852131,0.44517034198459954,0.03705056508382162,0.004851471404036539,,{'lr__penalty': None},0.9623529411764706,0.9608304498269896,0.9617993079584775,0.9616608996539792,0.0006292125350397294,1,False,
0,1.1838569641113281,0.0592932525329991,0.03241260846455892,0.0015708174786931218,,{'lr__penalty': None},0.9587543252595155,0.9634602076124568,0.9611072664359862,0.9611072664359862,0.001921168425712317,1,False,
