,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha
100,0.19518677393595377,0.002238475090080174,0.026520649592081707,0.002315595624828892,4.823366737662663e-06,60,70,2,"{'tree__ccp_alpha': 4.823366737662663e-06, 'tree__max_depth': 60, 'tree__max_leaf_nodes': 70, 'tree__min_samples_split': 2}",0.9701038062283737,0.9691349480968858,0.970242214532872,0.9698269896193773,0.0004925987659529842,18,60,2,70,4.823366737662663e-06
93,0.19521721204121908,0.0013846296504381364,0.027846654256184895,0.0005506318019287992,0,99,70,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 99, 'tree__max_leaf_nodes': 70, 'tree__min_samples_split': 3}",0.9701038062283737,0.9698269896193772,0.9695501730103806,0.9698269896193771,0.00022601981478967637,19,99,3,70,0.0
90,0.1756316820780436,0.001700631712062688,0.028518517812093098,0.002453249282988407,0,44,77,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 44, 'tree__max_leaf_nodes': 77, 'tree__min_samples_split': 4}",0.970242214532872,0.9689965397923875,0.9699653979238755,0.9697347174163783,0.0005340639862879071,20,44,4,77,0.0
149,0.1771078109741211,0.0006453230365261886,0.030298312505086262,0.0014641939091928954,9.887093141402726e-06,46,68,2,"{'tree__ccp_alpha': 9.887093141402726e-06, 'tree__max_depth': 46, 'tree__max_leaf_nodes': 68, 'tree__min_samples_split': 2}",0.9696885813148789,0.9689965397923875,0.9695501730103806,0.9694117647058823,0.0002989961106531896,21,46,2,68,9.887093141402726e-06
140,0.1863406499226888,0.0011624858534565441,0.027523517608642578,0.0036254014485432792,0,85,67,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 85, 'tree__max_leaf_nodes': 67, 'tree__min_samples_split': 3}",0.9699653979238755,0.9687197231833911,0.9691349480968858,0.9692733564013841,0.0005178764549168105,22,85,3,67,0.0
84,0.17373172442118326,0.0020223474832353565,0.029123544692993164,0.0018263245683154971,1.6256055324608598e-05,42,80,10,"{'tree__ccp_alpha': 1.6256055324608598e-05, 'tree__max_depth': 42, 'tree__max_leaf_nodes': 80, 'tree__min_samples_split': 10}",0.9694117647058823,0.9680276816608997,0.9695501730103806,0.9689965397923875,0.0006874124302537748,23,42,10,80,1.6256055324608598e-05
159,0.17753036816914877,0.004160792763159428,0.03526449203491211,0.00961124507376619,0,43,63,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 43, 'tree__max_leaf_nodes': 63, 'tree__min_samples_split': 2}",0.9685813148788928,0.9681660899653979,0.9683044982698962,0.9683506343713956,0.00017262548497229985,24,43,2,63,0.0
88,0.22928746541341147,0.006171233030042393,0.029616038004557293,0.0016420033959689757,0.0005785527661279797,96,97,9,"{'tree__ccp_alpha': 0.0005785527661279797, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 9}",0.9681660899653979,0.9670588235294117,0.9694117647058823,0.9682122260668974,0.0009611380233448394,25,96,9,97,0.0005785527661279797
76,0.19669739405314127,0.00030122432274761645,0.026383002599080402,0.0008710007595206486,0.0005965278883448239,52,82,9,"{'tree__ccp_alpha': 0.0005965278883448239, 'tree__max_depth': 52, 'tree__max_leaf_nodes': 82, 'tree__min_samples_split': 9}",0.9670588235294117,0.96719723183391,0.9694117647058823,0.9678892733564014,0.0010780458081243562,26,52,9,82,0.0005965278883448239
168,0.18061097462972006,0.0007231524732760013,0.027522881825764973,0.0032889718943106146,0,84,59,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 84, 'tree__max_leaf_nodes': 59, 'tree__min_samples_split': 5}",0.9665051903114187,0.9669204152249135,0.9687197231833911,0.9673817762399078,0.0009611380233448837,27,84,5,59,0.0
