,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lr__regularization
0,5.114069541295369,0.051145514205972416,0.031626224517822266,0.00438852288437323,inf,,sag,"{'lr__C': inf, 'lr__penalty': None, 'lr__solver': 'sag'}",0.9619377162629758,0.962076124567474,0.9598615916955018,0.9612918108419839,0.001012894966555916,1,False
0,5.064362684885661,0.027680115519220276,0.03285296758015951,0.004697439900614381,inf,,sag,"{'lr__C': inf, 'lr__penalty': None, 'lr__solver': 'sag'}",0.9635986159169551,0.96,0.96,0.961199538638985,0.0016964038118431955,1,False
0,6.182817697525024,0.7159642944436483,0.04124371210734049,0.003044056627219896,195.70559958202514,l2,sag,"{'lr__C': 195.70559958202514, 'lr__penalty': 'l2', 'lr__solver': 'sag'}",0.9617993079584775,0.960553633217993,0.96,0.9607843137254902,0.0007524570440738158,1,True
1,5.60911504427592,0.21172054318290837,0.03385392824808756,0.001116435100793235,183.49166131223217,l2,sag,"{'lr__C': 183.49166131223217, 'lr__penalty': 'l2', 'lr__solver': 'sag'}",0.9597231833910035,0.9601384083044983,0.9623529411764706,0.9607381776239908,0.00115432489072175,2,True
