,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha
131,0.20573027928670248,0.0014148813573765166,0.026799917221069336,0.0031735284637851775,0,86,77,8,"{'tree__ccp_alpha': 0, 'tree__max_depth': 86, 'tree__max_leaf_nodes': 77, 'tree__min_samples_split': 8}",0.9694117647058823,0.9691349480968858,0.9667820069204153,0.9684429065743944,0.0011798580717457053,18,86,8,77,0.0
105,0.2035671869913737,0.003294831775989027,0.027356942494710285,0.0017022492642969846,0,96,77,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 77, 'tree__min_samples_split': 10}",0.9694117647058823,0.9688581314878892,0.9669204152249135,0.9683967704728951,0.0010681279725757984,19,96,10,77,0.0
8,0.20543154080708823,0.0037181765668221956,0.03665876388549805,0.0009665773444315915,0,83,74,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 83, 'tree__max_leaf_nodes': 74, 'tree__min_samples_split': 3}",0.9692733564013841,0.9689965397923875,0.9665051903114187,0.9682583621683968,0.0012448200750387224,20,83,3,74,0.0
175,0.1953887939453125,0.00308110347797673,0.028748512268066406,0.0021850377250874483,0,81,74,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 81, 'tree__max_leaf_nodes': 74, 'tree__min_samples_split': 5}",0.9692733564013841,0.9691349480968858,0.9663667820069204,0.9682583621683968,0.0013387421571900524,20,81,5,74,0.0
33,0.20589470863342285,0.001918419428528128,0.04138024648030599,0.002592876373580083,0,78,75,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 78, 'tree__max_leaf_nodes': 75, 'tree__min_samples_split': 6}",0.9691349480968858,0.9689965397923875,0.966643598615917,0.9682583621683968,0.0011432075380266463,20,78,6,75,0.0
93,0.19691173235575357,0.0011770762730295536,0.027317126592000324,0.004159681947628541,0,80,74,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 80, 'tree__max_leaf_nodes': 74, 'tree__min_samples_split': 9}",0.9692733564013841,0.9689965397923875,0.9663667820069204,0.9682122260668974,0.0013098103406300923,23,80,9,74,0.0
154,0.17391117413838705,0.0018925886698067745,0.02773276964823405,0.0004269480256841818,0,43,73,8,"{'tree__ccp_alpha': 0, 'tree__max_depth': 43, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 8}",0.9685813148788928,0.9683044982698962,0.9669204152249135,0.9679354094579008,0.0007265520529653587,24,43,8,73,0.0
44,0.19919776916503906,0.0004735639204071931,0.029482126235961914,0.001297656454390021,0,76,73,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 76, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 9}",0.9687197231833911,0.9687197231833911,0.965674740484429,0.9677047289504038,0.0014354186100211774,25,76,9,73,0.0
168,0.19827008247375488,0.0033340526561363706,0.025297085444132488,0.0036753078070564022,5.243500969741553e-06,83,72,4,"{'tree__ccp_alpha': 5.243500969741553e-06, 'tree__max_depth': 83, 'tree__max_leaf_nodes': 72, 'tree__min_samples_split': 4}",0.9683044982698962,0.9685813148788928,0.9658131487889273,0.9675663206459054,0.0012448200750387224,26,83,4,72,5.243500969741553e-06
152,0.1950040658315023,0.001153196965550756,0.026217301686604817,0.0015836664692785625,0,91,72,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 91, 'tree__max_leaf_nodes': 72, 'tree__min_samples_split': 7}",0.9683044982698962,0.9685813148788928,0.965674740484429,0.9675201845444059,0.0013098103406300923,27,91,7,72,0.0
